PatchName,mean_r,mean_g,mean_b,std_r,std_g,std_b
TCGA-3L-AA1B_nonMSIH_x8752_y24288_patch00123.png,191.08,153.03,178.83,49.25,59.24,46.66
TCGA-5M-AAT4_nonMSIH_x10720_y18944_patch03659.png,186.26,127.76,170.83,36.0,40.77,30.35
TCGA-5M-AAT4_nonMSIH_x13280_y22528_patch03984.png,176.13,116.55,163.63,35.5,37.51,28.15
TCGA-5M-AAT4_nonMSIH_x13792_y5632_patch04021.png,202.23,146.13,180.11,37.35,56.04,40.73
TCGA-5M-AAT4_nonMSIH_x14304_y17920_patch04116.png,198.58,139.44,177.41,32.8,45.09,33.42
TCGA-5M-AAT4_nonMSIH_x15840_y16896_patch04331.png,189.75,130.46,171.04,38.14,47.24,34.32
TCGA-5M-AAT4_nonMSIH_x17888_y12288_patch04614.png,199.98,142.88,178.37,37.43,50.87,36.46
TCGA-5M-AAT4_nonMSIH_x19424_y1536_patch04812.png,201.47,152.14,184.7,39.81,59.39,41.86
TCGA-5M-AAT4_nonMSIH_x20960_y20480_patch05065.png,196.36,149.4,182.48,41.25,61.1,42.48
TCGA-5M-AAT4_nonMSIH_x23520_y15360_patch05407.png,195.76,135.39,173.2,38.94,51.61,38.61
TCGA-5M-AAT4_nonMSIH_x28128_y29184_patch06068.png,200.98,144.09,177.25,42.48,55.92,41.78
TCGA-5M-AAT4_nonMSIH_x29152_y26624_patch06184.png,227.55,211.66,221.84,34.13,55.82,39.0
TCGA-5M-AAT4_nonMSIH_x30176_y10240_patch06240.png,195.09,131.45,170.52,37.05,49.33,37.33
TCGA-5M-AAT4_nonMSIH_x31136_y29696_patch00094.png,215.29,157.53,187.57,30.27,49.37,35.73
TCGA-5M-AAT4_nonMSIH_x36256_y19456_patch00571.png,225.97,174.74,200.31,18.18,43.88,30.87
TCGA-5M-AAT4_nonMSIH_x36768_y12288_patch00628.png,221.68,167.71,196.23,20.64,42.78,30.11
TCGA-5M-AAT4_nonMSIH_x36768_y27136_patch00657.png,218.64,169.3,196.28,26.48,39.59,27.73
TCGA-5M-AAT4_nonMSIH_x37280_y13824_patch00707.png,224.6,174.83,200.56,19.05,41.49,29.59
TCGA-5M-AAT4_nonMSIH_x38816_y35328_patch00997.png,217.45,157.82,188.06,25.63,44.6,32.25
TCGA-5M-AAT4_nonMSIH_x41376_y37888_patch01430.png,210.5,159.08,188.46,36.17,50.44,36.79
TCGA-5M-AAT4_nonMSIH_x41376_y41472_patch01437.png,215.99,150.13,182.75,23.55,40.08,29.91
TCGA-5M-AAT4_nonMSIH_x44448_y42496_patch01937.png,208.92,140.81,175.52,32.52,48.09,36.63
TCGA-5M-AAT4_nonMSIH_x47520_y14336_patch02359.png,232.8,195.12,213.57,14.49,39.11,27.07
TCGA-5M-AAT4_nonMSIH_x48544_y26624_patch02536.png,226.11,174.27,199.47,19.28,45.77,32.09
TCGA-5M-AAT4_nonMSIH_x50080_y38912_patch02780.png,224.27,170.97,195.83,20.9,41.2,31.2
TCGA-5M-AAT4_nonMSIH_x51616_y32768_patch02962.png,223.05,173.75,198.64,20.71,36.3,26.33
TCGA-5M-AAT4_nonMSIH_x54688_y10752_patch03172.png,234.97,209.18,221.89,15.33,42.55,27.46
TCGA-5M-AAT4_nonMSIH_x54688_y20992_patch03192.png,230.68,202.71,216.57,21.48,38.29,28.57
TCGA-5M-AAT4_nonMSIH_x54688_y22016_patch03194.png,231.69,207.27,219.67,19.5,39.2,27.99
TCGA-5M-AAT4_nonMSIH_x7648_y22528_patch03397.png,208.02,153.74,185.59,31.83,43.24,33.92
TCGA-5M-AAT4_nonMSIH_x8672_y15872_patch03460.png,210.55,160.94,192.0,31.18,48.35,34.38
TCGA-5M-AAT6_MSIH_x11232_y25456_patch00352.png,178.53,131.06,168.8,55.05,67.4,51.41
TCGA-5M-AAT6_MSIH_x12768_y26480_patch00444.png,177.55,124.46,164.13,54.42,61.05,48.05
TCGA-5M-AAT6_MSIH_x13280_y20848_patch00465.png,174.62,117.85,162.24,48.86,53.37,41.33
TCGA-5M-AAT6_MSIH_x13280_y31600_patch00486.png,218.0,158.32,185.94,28.53,44.94,35.27
TCGA-5M-AAT6_MSIH_x15840_y25968_patch00624.png,205.58,148.52,178.28,41.0,60.45,48.35
TCGA-5M-AAT6_MSIH_x16352_y16240_patch00634.png,175.05,124.42,163.77,59.02,73.35,56.5
TCGA-5M-AAT6_MSIH_x18912_y21360_patch00819.png,199.47,145.85,178.55,43.73,59.54,44.78
TCGA-5M-AAT6_MSIH_x20960_y24432_patch00983.png,183.59,130.63,168.73,49.72,53.96,41.9
TCGA-5M-AAT6_MSIH_x21472_y28528_patch01033.png,217.66,163.13,191.79,31.47,39.22,30.73
TCGA-5M-AAT6_MSIH_x25568_y10096_patch01379.png,167.27,109.06,157.36,45.61,49.81,38.37
TCGA-5M-AAT6_MSIH_x25568_y30064_patch01418.png,205.95,153.61,184.82,40.1,47.03,36.68
TCGA-5M-AAT6_MSIH_x26080_y15216_patch01442.png,195.95,130.02,166.63,44.47,50.77,40.73
TCGA-5M-AAT6_MSIH_x26592_y14192_patch01493.png,171.98,118.07,162.41,48.22,54.21,41.24
TCGA-5M-AAT6_MSIH_x28128_y23920_patch01679.png,167.0,122.55,163.41,53.27,60.12,46.26
TCGA-5M-AAT6_MSIH_x28128_y25456_patch01682.png,166.59,123.34,164.49,53.39,60.88,46.16
TCGA-5M-AAT6_MSIH_x29152_y6512_patch01763.png,189.92,121.29,163.82,46.74,46.18,37.99
TCGA-5M-AAT6_MSIH_x32736_y21360_patch02230.png,174.1,134.12,169.8,59.65,72.09,54.05
TCGA-5M-AAT6_MSIH_x33248_y31088_patch02318.png,203.66,155.7,186.7,42.03,50.4,39.17
TCGA-5M-AAT6_MSIH_x33248_y5488_patch02268.png,217.26,164.38,193.25,36.22,56.21,42.16
TCGA-5M-AAT6_MSIH_x34272_y29552_patch02451.png,221.77,163.21,190.83,22.26,30.79,24.47
TCGA-5M-AAT6_MSIH_x35808_y16752_patch02629.png,174.26,125.95,165.1,53.92,65.03,48.81
TCGA-5M-AAT6_MSIH_x38880_y16240_patch03039.png,174.37,122.45,162.21,52.49,60.31,46.01
TCGA-5M-AAT6_MSIH_x38880_y17776_patch03042.png,193.23,146.18,177.96,51.91,62.52,47.7
TCGA-5M-AAT6_MSIH_x39904_y17264_patch03175.png,178.29,131.74,168.69,53.42,63.12,48.19
TCGA-5M-AAT6_MSIH_x39904_y23408_patch03187.png,205.81,153.66,182.7,37.47,52.2,40.46
TCGA-5M-AAT6_MSIH_x39904_y25456_patch03191.png,171.18,133.26,169.74,58.22,66.83,50.99
TCGA-5M-AAT6_MSIH_x41440_y30064_patch03393.png,174.24,135.47,170.16,57.92,70.54,53.9
TCGA-5M-AAT6_MSIH_x43488_y18800_patch03622.png,175.51,126.52,166.43,49.26,56.81,42.92
TCGA-5M-AAT6_MSIH_x44000_y25456_patch03696.png,173.37,131.86,167.92,53.89,63.28,49.0
TCGA-5M-AAT6_MSIH_x46560_y21872_patch03999.png,177.35,128.41,166.5,51.58,59.28,45.28
TCGA-5M-AATE_nonMSIH_x10224_y25088_patch00572.png,209.99,169.27,202.94,36.79,50.31,33.32
TCGA-5M-AATE_nonMSIH_x12272_y28672_patch00876.png,200.57,155.43,193.3,45.14,52.58,38.17
TCGA-5M-AATE_nonMSIH_x14832_y19456_patch01272.png,214.58,185.24,212.01,37.11,51.18,31.87
TCGA-5M-AATE_nonMSIH_x15344_y31232_patch01369.png,200.68,164.91,195.76,55.78,70.08,49.55
TCGA-5M-AATE_nonMSIH_x15344_y40960_patch01388.png,223.49,176.84,207.44,24.96,42.84,28.34
TCGA-5M-AATE_nonMSIH_x25072_y2048_patch02866.png,194.64,168.28,194.91,42.13,52.27,35.86
TCGA-5M-AATE_nonMSIH_x27632_y3584_patch03258.png,176.37,145.3,180.74,37.84,40.39,29.12
TCGA-5M-AATE_nonMSIH_x28656_y20480_patch03458.png,184.9,140.71,180.42,49.63,55.92,42.56
TCGA-5M-AATE_nonMSIH_x29680_y15872_patch03615.png,165.11,123.38,167.62,48.28,45.2,36.35
TCGA-5M-AATE_nonMSIH_x30704_y16384_patch03781.png,181.65,142.84,183.96,45.03,45.21,33.71
TCGA-5M-AATE_nonMSIH_x32240_y12800_patch04013.png,194.1,180.3,198.62,47.69,61.01,40.21
TCGA-5M-AATE_nonMSIH_x34288_y44032_patch04393.png,236.98,220.52,231.14,16.37,37.64,23.19
TCGA-5M-AATE_nonMSIH_x35824_y12288_patch04571.png,162.57,118.16,155.67,47.03,49.82,42.38
TCGA-5M-AATE_nonMSIH_x36336_y14848_patch04652.png,160.4,126.83,173.94,39.92,36.79,29.23
TCGA-5M-AATE_nonMSIH_x37360_y14336_patch04795.png,172.4,122.9,163.4,55.28,55.19,48.13
TCGA-5M-AATE_nonMSIH_x39408_y40960_patch05117.png,224.82,179.45,204.79,27.97,49.77,33.96
TCGA-5M-AATE_nonMSIH_x41968_y10752_patch05436.png,178.39,144.52,185.68,41.67,41.56,32.11
TCGA-5M-AATE_nonMSIH_x44528_y15360_patch05855.png,157.44,127.06,172.87,45.26,43.63,32.95
TCGA-5M-AATE_nonMSIH_x46064_y5632_patch06083.png,175.1,143.67,185.57,38.17,36.51,27.68
TCGA-5M-AATE_nonMSIH_x48112_y17920_patch06416.png,176.15,124.95,172.12,29.79,27.35,22.14
TCGA-5M-AATE_nonMSIH_x48112_y9728_patch06401.png,171.02,129.89,173.12,48.27,47.96,38.68
TCGA-5M-AATE_nonMSIH_x49648_y15872_patch06625.png,178.16,155.95,191.0,49.38,57.03,37.23
TCGA-5M-AATE_nonMSIH_x49648_y32768_patch06658.png,204.84,163.54,196.34,40.43,55.27,37.85
TCGA-5M-AATE_nonMSIH_x50672_y21504_patch06774.png,170.54,135.25,178.4,47.02,48.37,36.02
TCGA-5M-AATE_nonMSIH_x5104_y20480_patch00081.png,223.21,191.5,216.5,29.46,48.07,30.36
TCGA-5M-AATE_nonMSIH_x52208_y23552_patch06975.png,182.81,141.68,182.89,45.41,51.37,37.79
TCGA-5M-AATE_nonMSIH_x60912_y17408_patch07567.png,197.65,161.89,192.03,54.41,68.33,49.52
TCGA-5M-AATE_nonMSIH_x6128_y10240_patch00133.png,226.95,192.91,215.39,28.26,51.99,34.89
TCGA-5M-AATE_nonMSIH_x7152_y10752_patch00223.png,227.21,194.29,215.99,26.81,44.35,30.9
TCGA-5M-AATE_nonMSIH_x8688_y39424_patch00421.png,232.55,202.11,223.35,20.77,46.22,25.31
TCGA-A6-2685_nonMSIH_x1200_y4032_patch01240.png,147.57,125.9,157.08,69.63,80.05,60.53
TCGA-A6-2685_nonMSIH_x12976_y6080_patch01948.png,113.46,77.7,123.89,53.26,55.12,43.2
TCGA-A6-2685_nonMSIH_x14000_y16832_patch02016.png,173.98,157.16,184.25,55.84,64.02,47.17
TCGA-A6-2685_nonMSIH_x14512_y14272_patch02044.png,137.11,111.97,150.81,58.5,63.37,49.33
TCGA-A6-2685_nonMSIH_x14512_y3008_patch02027.png,119.42,75.48,121.89,47.4,45.08,36.88
TCGA-A6-2685_nonMSIH_x16560_y6592_patch02175.png,107.66,72.23,118.78,52.11,52.84,42.57
TCGA-A6-2685_nonMSIH_x1712_y1984_patch01258.png,149.56,122.81,153.77,70.19,83.8,63.56
TCGA-A6-2685_nonMSIH_x18608_y10688_patch02325.png,126.95,99.68,140.55,54.32,59.02,45.94
TCGA-A6-2685_nonMSIH_x18608_y12224_patch02328.png,143.65,120.54,154.86,61.57,69.17,53.71
TCGA-A6-2685_nonMSIH_x18608_y12736_patch02329.png,134.66,104.7,143.25,55.96,62.28,49.19
TCGA-A6-2685_nonMSIH_x19632_y16320_patch02393.png,157.48,136.01,165.75,63.55,71.41,56.29
TCGA-A6-2685_nonMSIH_x40809_y10288_patch00018.png,117.01,95.32,133.09,71.0,77.58,62.0
TCGA-A6-2685_nonMSIH_x41321_y7728_patch00032.png,115.29,87.23,134.2,49.24,50.2,39.29
TCGA-A6-2685_nonMSIH_x41833_y13872_patch00065.png,158.88,130.88,163.56,59.8,69.07,51.92
TCGA-A6-2685_nonMSIH_x42345_y16944_patch00100.png,168.94,126.07,161.49,45.0,60.19,43.83
TCGA-A6-2685_nonMSIH_x4272_y13248_patch01445.png,137.05,95.75,139.06,46.8,45.93,36.77
TCGA-A6-2685_nonMSIH_x44905_y23088_patch00292.png,233.98,231.49,234.03,19.33,24.29,17.29
TCGA-A6-2685_nonMSIH_x46441_y23088_patch00409.png,200.6,175.93,195.64,43.58,57.15,41.32
TCGA-A6-2685_nonMSIH_x49513_y23088_patch00619.png,157.69,94.36,138.72,28.77,29.67,23.78
TCGA-A6-2685_nonMSIH_x52585_y10288_patch00732.png,146.26,122.59,153.79,75.26,86.76,66.09
TCGA-A6-2685_nonMSIH_x54121_y20528_patch00830.png,216.97,205.63,215.47,38.14,54.74,41.8
TCGA-A6-2685_nonMSIH_x56169_y18480_patch00979.png,119.47,86.74,130.7,54.92,53.44,44.49
TCGA-A6-2685_nonMSIH_x56681_y7728_patch00997.png,107.38,68.97,116.81,47.8,43.72,36.92
TCGA-A6-2685_nonMSIH_x57193_y12336_patch01044.png,103.5,73.52,114.84,60.25,59.57,54.82
TCGA-A6-2685_nonMSIH_x57193_y9776_patch01039.png,122.93,91.08,133.73,55.19,58.13,47.63
TCGA-A6-2685_nonMSIH_x57705_y20016_patch01094.png,143.93,118.32,154.47,59.18,65.97,52.44
TCGA-A6-2685_nonMSIH_x58217_y12336_patch01111.png,124.79,94.83,137.54,53.5,57.88,46.57
TCGA-A6-2685_nonMSIH_x7856_y5568_patch01708.png,117.69,86.54,131.28,55.9,59.03,45.8
TCGA-A6-2685_nonMSIH_x8880_y8640_patch01788.png,135.29,107.94,145.13,66.61,74.95,57.01
TCGA-A6-2685_nonMSIH_x9904_y2496_patch01832.png,149.89,112.92,145.65,66.84,80.6,63.14
TCGA-A6-2686-01Z-00-DX1.0540a027-2a0c-46c7-9af0-7b8672631de7_MSIH_x2544_y23552_patch00083.png,158.29,105.82,143.64,48.64,56.04,42.79
TCGA-A6-2686_MSIH_x10736_y12800_patch00797.png,160.85,103.55,144.33,41.06,40.22,30.63
TCGA-A6-2686_MSIH_x10736_y19968_patch00811.png,143.63,91.11,134.63,42.99,43.28,33.37
TCGA-A6-2686_MSIH_x10736_y9216_patch00790.png,146.69,96.65,138.3,45.05,44.94,34.88
TCGA-A6-2686_MSIH_x11248_y17408_patch00848.png,152.15,96.49,138.83,41.15,38.94,30.71
TCGA-A6-2686_MSIH_x13296_y10752_patch00993.png,155.9,104.17,143.79,44.42,42.76,33.84
TCGA-A6-2686_MSIH_x14320_y15872_patch01073.png,157.8,99.09,137.55,46.3,42.36,34.82
TCGA-A6-2686_MSIH_x14320_y18944_patch01079.png,170.19,119.39,155.35,42.7,43.76,34.37
TCGA-A6-2686_MSIH_x14832_y12288_patch01098.png,208.51,178.41,193.42,45.32,71.93,56.84
TCGA-A6-2686_MSIH_x14832_y15872_patch01099.png,220.97,210.65,217.7,46.16,61.75,46.98
TCGA-A6-2686_MSIH_x2032_y24576_patch00048.png,198.44,178.06,194.77,58.56,76.14,56.71
TCGA-A6-2686_MSIH_x2544_y4608_patch00051.png,229.62,222.88,227.43,34.59,47.9,36.6
TCGA-A6-2686_MSIH_x46346_y8016_patch01141.png,206.91,181.57,197.97,51.07,73.56,53.98
TCGA-A6-2686_MSIH_x48394_y20304_patch01250.png,163.38,103.69,139.72,48.01,61.17,46.59
TCGA-A6-2686_MSIH_x50442_y21840_patch01419.png,146.27,83.7,128.14,40.39,36.13,28.51
TCGA-A6-2686_MSIH_x50954_y11088_patch01444.png,151.68,86.82,129.93,44.16,44.93,34.94
TCGA-A6-2686_MSIH_x50954_y13136_patch01448.png,145.11,78.34,122.67,42.19,38.27,30.5
TCGA-A6-2686_MSIH_x50954_y21328_patch01464.png,150.41,88.85,131.96,44.14,41.91,32.41
TCGA-A6-2686_MSIH_x51978_y23376_patch01571.png,164.26,97.42,139.31,36.06,33.83,25.94
TCGA-A6-2686_MSIH_x52490_y25936_patch01627.png,160.73,106.13,142.57,48.77,49.31,38.97
TCGA-A6-2686_MSIH_x53002_y17232_patch01660.png,156.99,86.53,128.78,48.25,42.98,33.65
TCGA-A6-2686_MSIH_x53514_y6992_patch01689.png,148.93,77.01,120.97,43.88,37.14,30.48
TCGA-A6-2686_MSIH_x54026_y7504_patch01737.png,147.23,79.56,122.77,47.16,43.42,34.94
TCGA-A6-2686_MSIH_x55050_y19280_patch01849.png,153.37,91.3,133.1,43.09,40.82,32.4
TCGA-A6-2686_MSIH_x5616_y17408_patch00332.png,146.62,97.71,139.02,50.86,56.49,42.25
TCGA-A6-2686_MSIH_x6640_y17920_patch00435.png,136.88,84.96,130.15,46.11,40.88,32.71
TCGA-A6-2686_MSIH_x7152_y3072_patch00458.png,227.33,216.64,223.3,32.34,49.09,36.07
TCGA-A6-2686_MSIH_x8176_y10752_patch00572.png,182.98,133.07,164.44,47.62,60.78,45.04
TCGA-A6-2686_MSIH_x8688_y22016_patch00640.png,150.53,92.71,134.61,46.65,44.32,35.2
TCGA-A6-2686_MSIH_x9200_y12288_patch00666.png,155.61,98.16,140.73,39.09,37.08,28.6
TCGA-A6-5661_MSIH_x10720_y7760_patch00214.png,176.1,91.17,126.26,38.89,47.92,40.07
TCGA-A6-5661_MSIH_x11744_y3152_patch00242.png,198.01,179.38,195.74,60.55,81.01,59.93
TCGA-A6-5661_MSIH_x12768_y3664_patch00274.png,222.65,212.14,218.89,44.39,64.8,49.23
TCGA-A6-5661_MSIH_x25654_y10752_patch00297.png,205.57,190.52,203.44,57.85,75.47,57.02
TCGA-A6-5661_MSIH_x26678_y5120_patch00313.png,219.25,210.96,217.16,52.81,66.36,52.14
TCGA-A6-5661_MSIH_x27190_y6656_patch00333.png,160.6,110.96,144.84,58.61,72.75,57.2
TCGA-A6-5661_MSIH_x27702_y6656_patch00350.png,172.06,119.5,152.96,54.37,68.42,52.68
TCGA-A6-5661_MSIH_x28726_y6144_patch00376.png,188.56,140.51,168.21,54.2,70.96,54.68
TCGA-A6-5661_MSIH_x29750_y4096_patch00398.png,191.73,167.25,185.08,68.38,87.77,68.24
TCGA-A6-5661_MSIH_x30262_y6144_patch00414.png,169.71,112.25,148.94,49.27,60.91,46.22
TCGA-A6-5661_MSIH_x30262_y8704_patch00419.png,186.52,143.92,169.88,55.75,74.7,57.21
TCGA-A6-5661_MSIH_x30262_y9728_patch00421.png,229.07,219.27,224.26,33.3,55.29,40.8
TCGA-A6-5661_MSIH_x3040_y13904_patch00003.png,188.69,169.3,187.61,65.4,83.78,62.67
TCGA-A6-5661_MSIH_x31798_y6656_patch00453.png,179.27,113.68,147.28,54.54,56.02,44.26
TCGA-A6-5661_MSIH_x32310_y5120_patch00464.png,203.69,122.92,153.37,35.78,46.79,38.76
TCGA-A6-5661_MSIH_x32310_y8192_patch00470.png,218.14,204.46,213.56,43.86,61.28,46.65
TCGA-A6-5661_MSIH_x33334_y8192_patch00504.png,208.41,150.08,171.85,38.09,67.94,53.63
TCGA-A6-5661_MSIH_x36406_y6144_patch00586.png,213.17,196.05,205.3,54.98,80.28,63.48
TCGA-A6-5661_MSIH_x49339_y10064_patch00604.png,160.53,126.44,155.12,67.14,82.54,65.37
TCGA-A6-5661_MSIH_x5088_y11856_patch00065.png,146.21,94.7,133.67,53.17,58.03,46.48
TCGA-A6-5661_MSIH_x53435_y4944_patch00727.png,160.27,106.74,146.61,49.57,55.18,42.35
TCGA-A6-5661_MSIH_x53947_y5968_patch00742.png,148.26,87.92,129.27,54.05,46.8,39.71
TCGA-A6-5661_MSIH_x54459_y2384_patch00747.png,169.84,114.12,152.21,48.24,43.38,34.87
TCGA-A6-5661_MSIH_x56507_y336_patch00814.png,219.29,211.24,219.69,49.29,64.69,46.85
TCGA-A6-5661_MSIH_x57019_y8528_patch00848.png,122.56,69.69,110.89,56.45,52.04,46.71
TCGA-A6-5661_MSIH_x57531_y8016_patch00861.png,123.02,74.83,112.81,63.4,64.43,55.68
TCGA-A6-5661_MSIH_x57531_y848_patch00850.png,207.8,194.32,207.03,57.94,76.35,56.86
TCGA-A6-5661_MSIH_x57531_y8528_patch00862.png,132.8,84.94,120.91,65.24,71.66,60.08
TCGA-A6-5661_MSIH_x6112_y11344_patch00096.png,194.81,166.01,186.61,54.55,72.64,54.91
TCGA-A6-5661_MSIH_x6624_y11344_patch00110.png,210.31,191.86,203.94,51.74,72.18,55.1
TCGA-A6-5662_nonMSIH_x10176_y31971_patch00256.png,190.45,169.7,182.33,73.07,96.74,79.57
TCGA-A6-5662_nonMSIH_x1184_y3936_patch00278.png,159.27,107.49,139.33,62.67,80.95,63.01
TCGA-A6-5662_nonMSIH_x1472_y30435_patch00009.png,135.08,60.95,104.38,41.21,29.98,26.45
TCGA-A6-5662_nonMSIH_x2720_y5472_patch00311.png,150.88,72.7,111.86,49.06,45.37,37.58
TCGA-A6-5662_nonMSIH_x3232_y9056_patch00331.png,212.54,192.69,203.76,51.11,76.81,58.87
TCGA-A6-5662_nonMSIH_x3744_y2912_patch00334.png,139.41,68.06,112.1,46.51,37.15,31.45
TCGA-A6-5662_nonMSIH_x3744_y8032_patch00344.png,141.59,72.44,115.07,42.38,38.77,31.79
TCGA-A6-5662_nonMSIH_x4032_y34019_patch00073.png,144.45,67.44,112.09,39.07,30.58,25.99
TCGA-A6-5662_nonMSIH_x4256_y9568_patch00363.png,130.05,61.57,104.86,41.76,35.68,30.53
TCGA-A6-5662_nonMSIH_x4768_y5984_patch00373.png,147.97,60.27,102.05,38.63,24.97,23.15
TCGA-A6-5662_nonMSIH_x5056_y30947_patch00100.png,163.01,66.61,104.59,41.67,33.76,29.05
TCGA-A6-5662_nonMSIH_x5056_y34019_patch00106.png,141.11,63.55,107.14,43.24,36.87,30.45
TCGA-A6-5662_nonMSIH_x5568_y29411_patch00115.png,145.36,88.28,121.17,63.01,80.37,64.4
TCGA-A6-5662_nonMSIH_x5568_y32483_patch00121.png,134.27,54.57,97.87,41.49,28.87,26.45
TCGA-A6-5662_nonMSIH_x6080_y32483_patch00140.png,134.06,59.16,104.57,39.2,29.86,25.95
TCGA-A6-5662_nonMSIH_x6304_y3424_patch00422.png,115.77,56.08,104.39,40.09,30.74,27.31
TCGA-A6-5662_nonMSIH_x6304_y7520_patch00430.png,117.32,53.06,100.32,39.07,27.9,25.25
TCGA-A6-5662_nonMSIH_x6592_y31971_patch00157.png,141.95,64.05,107.59,41.87,33.48,29.36
TCGA-A6-5662_nonMSIH_x672_y1376_patch00267.png,214.18,199.8,207.55,54.11,77.29,61.17
TCGA-A6-5662_nonMSIH_x6816_y5984_patch00445.png,119.79,53.96,101.26,37.21,26.48,24.26
TCGA-A6-5662_nonMSIH_x7104_y35555_patch00182.png,139.6,69.08,113.6,43.64,36.51,31.24
TCGA-A6-5662_nonMSIH_x7328_y4448_patch00460.png,107.27,48.98,96.66,39.98,29.7,27.69
TCGA-A6-5662_nonMSIH_x7328_y5472_patch00462.png,191.59,165.14,181.85,65.34,86.73,67.87
TCGA-A6-5662_nonMSIH_x7616_y30947_patch00191.png,122.38,46.38,88.84,42.12,25.29,24.84
TCGA-A6-5662_nonMSIH_x7616_y32995_patch00195.png,142.43,89.89,126.14,61.47,77.79,60.57
TCGA-A6-5662_nonMSIH_x7840_y5472_patch00479.png,124.75,70.09,112.89,52.29,61.24,47.43
TCGA-A6-5662_nonMSIH_x7840_y8032_patch00484.png,126.56,64.3,108.09,47.73,41.37,36.1
TCGA-A6-5662_nonMSIH_x8352_y7008_patch00497.png,136.62,71.64,116.15,45.54,40.23,33.69
TCGA-A6-5662_nonMSIH_x8640_y30435_patch00223.png,120.29,44.76,87.15,36.94,21.53,20.52
TCGA-A6-5662_nonMSIH_x9152_y30947_patch00238.png,143.51,83.3,116.58,61.52,74.83,60.4
TCGA-A6-5665_MSIH_x1920_y15312_patch00448.png,196.6,178.21,193.51,63.37,79.88,61.73
TCGA-A6-5665_MSIH_x2432_y13776_patch00474.png,162.8,127.39,156.62,63.68,72.56,61.21
TCGA-A6-5665_MSIH_x2432_y3536_patch00454.png,185.18,147.39,172.05,55.75,73.91,57.75
